117.4922,51.1320,0.0938,-0.1716,3.0084,22.9030,8.2564,70.3121
70.4922,36.5124,2.2569,9.6356,9.3629,36.2260,4.8231,24.7300
109.4688,45.4448,0.0859,-0.0027,5.5167,28.5803,5.6236,32.9324
89.8359,45.5492,1.2082,2.5150,3.8955,26.6678,7.3270,54.7321
115.8750,45.9264,0.2963,-0.0514,5.6639,30.0004,5.6845,32.8556
87.3359,48.0628,1.1225,1.4279,137.1020,95.0312,-0.4334,-1.5311
108.6406,44.1791,0.4442,0.7487,10.4774,40.4546,4.0116,15.3383
126.0391,55.6245,0.2725,-0.5678,3.6388,19.2603,6.8430,55.2945
104.4688,41.0933,0.3359,1.0827,6.1187,32.5442,5.5557,30.6941
114.6250,48.3023,0.1400,-0.0475,4.4465,22.7886,6.5339,47.5100
93.2969,38.6135,0.6389,1.4887,2.8186,21.0497,8.0795,68.6035
100.0703,48.7029,0.6523,0.3586,13.9080,48.3594,3.4680,10.7373
128.8594,52.4489,0.3686,-0.1454,3.2258,22.7101,8.1981,72.0237
128.2891,55.2651,0.0698,-0.4432,1.8470,13.2412,11.1426,161.8684
93.7969,54.1522,0.8552,0.5836,1.5928,11.5536,12.5857,218.6118
81.0078,39.8882,1.7293,5.2229,97.5619,84.4105,0.2858,-1.3149
63.6953,31.2974,2.9885,15.5093,86.3537,93.1743,0.4765,-1.4064
41.4375,36.3730,3.7479,16.7312,20.3236,58.6075,2.9038,7.1484
65.1250,71.1062,1.0086,-0.4522,139.3863,90.2808,-0.3168,-1.6132
141.0781,43.7553,0.1102,0.0924,2.1931,14.9013,9.6024,114.1486
39.8359,27.7916,4.4595,29.4281,12.8085,36.0580,3.6684,15.3007
26.7656,27.3586,6.0989,42.2678,25.2952,55.1085,2.4031,5.1530
122.9688,43.6958,0.2724,0.7116,4.4231,24.8645,6.8710,51.4123
55.1875,35.7268,2.2063,8.5622,32.5084,59.4982,1.8127,2.4434
41.2109,31.9466,3.8875,19.8978,88.3336,78.9114,0.5885,-0.8073
61.6719,36.3755,2.2652,8.7100,5.5936,29.6240,6.0722,38.2360
